feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
K14155,3,2.6370179703513035,0.6490299823633157,0.998998998998999,0.0,0.988988988988989,1,1,0,1
K03327,3,2.630773630773631,0.873015873015873,0.975975975975976,0.0,0.7817817817817818,1,1,0,1
K00764,3,2.598741598741599,0.9841269841269842,0.934934934934935,0.0,0.6796796796796797,1,1,0,1
K16007,3,2.5841079174412505,0.744268077601411,0.8928928928928929,0.0,0.9469469469469469,1,1,0,1
K00850,3,2.5764812431479096,0.8377425044091711,0.7397397397397397,0.0,0.998998998998999,1,1,0,1
K07816,3,2.573716573716574,0.7619047619047619,0.8438438438438438,0.0,0.967967967967968,1,1,0,1
K01173,3,2.5736620012238385,0.0,0.7957957957957957,0.833922261484099,0.943943943943944,0,1,1,1
K24559,3,2.5669479002812334,0.7601410934744268,0.963963963963964,0.0,0.8428428428428428,1,1,0,1
K02112,3,2.5643262309928976,0.8165784832451499,0.8668668668668669,0.0,0.8808808808808809,1,1,0,1
K01696,3,2.549072882406216,0.855379188712522,0.91991991991992,0.0,0.7737737737737738,1,1,0,1
K00826,3,2.5470708804042137,0.9664902998236331,0.8608608608608609,0.0,0.7197197197197197,1,1,0,1
K12906,3,2.542876209542876,0.7530864197530864,0.8918918918918919,0.0,0.8978978978978979,1,1,0,1
K01591,3,2.5423995423995427,0.9047619047619048,0.6516516516516517,0.0,0.985985985985986,1,1,0,1
K01934,3,2.532961532961533,0.9523809523809523,0.7327327327327327,0.0,0.8478478478478478,1,1,0,1
K03111,3,2.5294818628151963,0.9559082892416226,0.9769769769769769,0.0,0.5965965965965966,1,1,0,1
K00891,3,2.502216502216502,0.9576719576719577,0.8218218218218218,0.0,0.7227227227227226,1,1,0,1
K00949,3,2.502073502073502,0.9365079365079365,0.7657657657657657,0.0,0.7997997997997998,1,1,0,1
K01704,3,2.501692168358835,0.9911816578483246,0.9529529529529529,0.0,0.5575575575575575,1,1,0,1
K01695,3,2.495304828638162,0.7865961199294533,0.8068068068068068,0.0,0.9019019019019019,1,1,0,1
K11068,3,2.465179465179465,0.5873015873015873,0.968968968968969,0.0,0.9089089089089089,1,1,0,1
